"lao","Lao People's Democratic Republic (the)","Asia"
"lva","Latvia","Europe"
"lbn","Lebanon","Asia"
"lso","Lesotho","Africa"
"lbr","Liberia","Africa"
"lby","Libyan Arab Jamahiriya (the)","Africa"
"lie","Liechtenstein","Europe"
"ltu","Lithuania","Europe"
"lux","Luxembourg","Europe"
"mdg","Madagascar","Africa"
"mdr","Madeira (Portugal)","Europe"
"mwi","Malawi","Africa"
"mys","Malaysia","Asia"
"mdv","Maldives","Asia"
"mli","Mali","Africa"
"mlt","Malta","Europe"
"mhl","Marshall Islands (the)","Oceania"
"mtq","Martinique (France)","Americas"
"mrt","Mauritania","Africa"
"mus","Mauritius","Africa"
"myt","Mayotte (France)","Africa"
"mex","Mexico","Americas"
"fsm","Micronesia (Federated States of)","Oceania"
"mda","Moldova","Europe"
"mco","Monaco","Europe"
"mng","Mongolia","Asia"
"mne","Montenegro","Europe"
"msr","Montserrat","Americas"
"mar","Morocco","Africa"
"moz","Mozambique","Africa"
"mmr","Myanmar","Asia"
"nam","Namibia","Africa"
"nru","Nauru","Oceania"
"npl","Nepal","Asia"
"nld","Netherlands (the)","Europe"
"ant","Netherlands Antilles (The Netherlands)","Americas"
"ncl","New Caledonia (France)","Oceania"
"nzl","New Zealand","Oceania"
"nic","Nicaragua","Americas"
"ner","Niger (the)","Africa"
"nga","Nigeria","Africa"
"niu","Niue (New Zealand)","Oceania"
"nfk","Norfolk Island (Australia)","Oceania"
"mnp","Northern Mariana Islands (The United States of America)","Oceania"
"nor","Norway","Europe"
"pse","occupied Palestinian territory","Asia"
"omn","Oman","Asia"
"pak","Pakistan","Asia"
"plw","Palau","Oceania"
"pan","Panama","Americas"
"png","Papua New Guinea","Oceania"
"pry","Paraguay","Americas"
"per","Peru","Americas"
"phl","Philippines (the)","Asia"
"pcn","Pitcairn Island","Oceania"
"pol","Poland","Europe"
"prt","Portugal","Europe"
"pri","Puerto Rico (The United States of America)","Americas"
"qat","Qatar","Asia"
"kor","Republic of Korea (the)","Asia"
"reu","Réunion (France)","Africa"
"rou","Romania","Europe"
"rus","Russian Federation (the)","Europe"
"rwa","Rwanda","Africa"
"shn","Saint Helena","Africa"
"kna","Saint Kitts and Nevis","Americas"
"lca","Saint Lucia","Americas"
"spm","Saint Pierre and Miquelon (France)","Americas"
"vct","Saint Vincent and the Grenadines","Americas"
"wsm","Samoa","Oceania"
"smr","San Marino","Europe"
"stp","Sao Tome and Principe","Africa"
"sau","Saudi Arabia","Asia"
"sen","Senegal","Africa"
"srb","Serbia","Europe"
"syc","Seychelles","Africa"
"sle","Sierra Leone","Africa"
"sgp","Singapore","Asia"
"svk","Slovakia","Europe"
"svn","Slovenia","Europe"
"slb","Solomon Islands","Oceania"
"som","Somalia","Africa"
"zaf","South Africa","Africa"
"esp","Spain","Europe"
"lka","Sri Lanka","Asia"
"sdn","Sudan (the)","Africa"
"sur","Suriname","Americas"
"sjm","Svalbard and Jan Mayen Islands","Europe"
"swz","Swaziland","Africa"
"swe","Sweden","Europe"
"che","Switzerland","Europe"
"syr","Syrian Arab Republic (the)","Asia"
"tjk","Tajikistan","Asia"
"tha","Thailand","Asia"
"mkd","the former Yugoslav Republic of Macedonia","Europe"
"tls","Timor-Leste","Asia"
"tgo","Togo","Africa"
"tkl","Tokelau","Oceania"
"ton","Tonga","Oceania"
"tto","Trinidad and Tobago","Americas"
"tun","Tunisia","Africa"
"tur","Turkey","Asia"
"tkm","Turkmenistan","Asia"
"tca","Turks and Caicos Islands","Americas"
"tuv","Tuvalu","Oceania"
"uga","Uganda","Africa"
"ukr","Ukraine","Europe"
"are","United Arab Emirates (the)","Asia"
"gbr","United Kingdom of Great Britain and Northern Ireland (the)","Europe"
"tza","United Republic of Tanzania (the)","Africa"
"usa","United States of America (the)","Americas"
"vir","United States Virgin Islands","Americas"
"ury","Uruguay","Americas"
"uzb","Uzbekistan","Asia"
"vut","Vanuatu","Oceania"
"ven","Venezuela (Bolivarian Republic of)","Americas"
"vnm","Viet Nam","Asia"
"wlf","Wallis and Futuna (France)","Oceania"
"esh","Western Sahara","Africa"
"yem","Yemen","Asia"
"zmb","Zambia","Africa"
"zwe","Zimbabwe","Africa"
